traveler_id	reservation_id	reservation_date	package_type	departure_date	departure_code	arrival_code	arrival_country	return_date	carrier_id	no_of_adults	no_of_kids
8763873	ed8a1af82e8f47dbe3333205a64b3463eb578f8685f46ee5ccc340e12c57eff0	2018-05-29	STP	2018-06-07	CPH	PMI	Spain	2018-06-14	246	2	0
7974439	cd4d90ff55f2102208a9695d375186151ed2a48a0790b688e6b454b03c737293	2017-07-20	STP	2017-08-08	GOT	PMI	Spain	2017-08-15	246	2	0
7446915	fcf7888da1387e0cf4bf852ef4918a2dd00d5266efea71829b08d27f5184a1ac	2018-06-03	STP	2018-10-20	CPH	CHQ	Greece	2018-10-27	246	2	0
8585683	5336312a24b2ba50dc882a23b6265d8edd7ab0cb98faf5230399ce233c067b79	2017-06-23	STP	2017-07-15	MMX	CHQ	Greece	2017-07-22	246	2	2
8385501	f6c8fde0d100f496ea38b844a1a879384bc847ed21825796b4b9ab5c3e81452e	2018-02-26	STP	2018-07-12	ARN	CTA	Italy	2018-07-19	246	2	0
8028528	aa75d917be2f39f5b8256da15bf43b87d289a0c83eaa46ec6193601267b048b0	2017-07-07	STP	2017-10-23	GOT	PMI	Spain	2017-10-30	246	3	0
8729638	9db804b96a5c9fb7827fee0ef2e8fa386b90df8dc8d960a3762051024608a515	2018-08-11	STP	2018-10-26	GOT	AHO	Italy	2018-11-02	246	2	0
8408088	add6a5b6159a8baf16e15568e44b024a7437ef4fffe06da9b507b50d49c05628	2018-03-07	STP	2018-07-01	HEL	SPU	Croatia	2018-07-08	246	2	0
8572298	244638ab26be0373112c803c72a935b3acd7edc4be1a4a18235ace4af958ab58	2018-05-22	SOB	2018-10-14	ARN	MAH	Spain	2018-10-21	246	2	1
7824539	66f60fcd4186c42aaa867aeedee4cc488c9b9d8ad1e46b5911f4bb530ece8611	2017-04-30	STP	2017-06-12	GOT	PMI	Spain	2017-06-19	246	2	1
8243102	9f8ce953e07256cf906c499ef579e7f9b013c6c43dfed41b42b48fbf8eeada50	2016-12-19	STP	2017-07-29	MMX	CHQ	Greece	2017-08-12	246	2	2
7430484	9d19eeda0a7abd1d49f2332cb646c03677b33d67ca2468a4e7413b8f24099294	2016-09-24	STP	2017-09-12	CPH	RHO	Greece	2017-09-26	246	2	0
7593328	86cc04dec066552eea90b33456e0e3aaaf64a65d3a3ecd31dff5fad70be9abc3	2017-01-08	STP	2017-08-12	ARN	BOJ	Bulgaria	2017-08-19	246	1	3
7314400	3ac343e57d70070ba0d611a714538fc044e6b78d0291d9ad891b29ef6516424c	2017-08-05	STP	2017-08-31	ARN	PMI	Spain	2017-09-07	246	2	1
6557587	3c41d73461c320d602d70a412d46f28c7b1463975ebc067ee0fc54260b3e2a13	2017-07-17	STP	2017-08-16	MMX	LCA	Cyprus	2017-08-23	246	2	0
8614504	f56415cd63661804c356d981c20b27ed92fbd98c5ae9173f08512ec9df4f80e8	2018-06-14	STP	2018-06-22	ARN	ZTH	Greece	2018-06-29	246	2	0
7192639	66ebfbaafb54c50356d8ff8f61ef0b68adffeb002eb02c2a88737caef99f116b	2017-06-03	STP	2017-06-19	GOT	RHO	Greece	2017-06-26	246	2	2
7787050	8c2fb2eff0bee2cd6eed7e32980373181a699e0e1146ef8154e14e3fda490b51	2017-04-10	STP	2017-09-15	CPH	ZTH	Greece	2017-09-22	246	2	0
7562868	fa993a1b6db00cb4d7c8028707a3ec60be045f80415da165166bf174fa10cb73	2016-12-15	STP	2017-07-03	GOT	RHO	Greece	2017-07-10	246	1	0
8796059	6b28a16ac805ae19ac9a33a232ede768a9033ef5ccc509e9cb06d4b8efcec28f	2018-06-11	STP	2018-08-02	HEL	CTA	Italy	2018-08-09	246	2	1
8002399	56d3e5f1dfac93546e50fc1db1b899f76db993bcc57bed1cfa15d37c6b259b68	2017-08-02	STP	2017-09-07	GOT	PMI	Spain	2017-09-14	246	2	0
8017055	90d02d09e2c3d433c501cfbbef427bcf917b464585f9c9c58ab9f124b0995832	2017-08-09	STP	2017-10-26	ARN	CHQ	Greece	2017-11-02	246	2	2
6598217	6255b19bbe838fcca1a6203b31e96af035c37d59e684cd6f2a64542dbadb96bf	2017-07-09	STP	2017-09-14	ARN	PMI	Spain	2017-09-21	246	2	0
8359794	2211b8d14f0eadd3912b29fe40852bbe4259cf310b1727c64f55c6cd03a30a54	2018-02-16	STP	2018-06-29	ARN	ZTH	Greece	2018-07-13	246	2	1
8599840	fb214b8008ad44b094cde9f8c24cdd90b4e9e2a5856ae68be37f4c84ebb8efa9	2018-06-05	STP	2018-06-22	OSL	ZTH	Greece	2018-06-29	246	1	1
8034253	223a8b7c52ece5c5fd48c08774a76ee3221c4a72e0ab403c8c8021a998043320	2017-08-19	STP	2017-08-30	GOT	LCA	Cyprus	2017-09-06	246	2	1
8542430	b575fa873028427463bf1382b13031297f79b0b5a5c647dc40b7cd7174b8d77a	2017-09-30	STP	2018-06-26	GOT	LCA	Cyprus	2018-07-03	997	2	0
